2022-01-26 18:16:44,171 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 18:16:44,173 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:16:44,741 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2022-01-26 18:16:44,997 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-01-26 18:16:45,252 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 18:16:45,430 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 18:16:45,508 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 18:16:47,325 | DEBUG | ulauncher.ui.windows.UlauncherWindow: activate_preferences() | show existing preferences_dialog
2022-01-26 18:16:47,585 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_get_all() | API call /get/all
2022-01-26 18:16:49,714 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_theme_name() | Set theme-name to dracula
2022-01-26 18:16:50,730 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_close() | Close preferences
2022-01-26 18:16:51,643 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 18:16:51,644 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 18:16:51,648 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:16:53,123 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 18:16:53,631 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:16:54,676 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 18:16:55,068 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Dragon Player (/usr/share/applications/org.kde.dragonplayer.desktop) Exec ['dragon']
2022-01-26 18:16:55,076 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:16:57,920 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 18:16:57,921 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 18:16:57,921 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:17:06,998 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2022-01-26 18:17:07,001 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-01-26 18:17:07,403 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2022-01-26 18:17:07,644 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-01-26 18:17:07,731 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 18:17:07,938 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 18:17:08,013 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
